	Position	CompanyName	Skills	Published	MoreInfo
0	Data Analyst	bijak	Data Analyst, SQL,  BigQuery	Posted 5 days ago	https://www.timesjobs.com/job-detail/data-analyst-bijak-gurgaon-2-to-3-yrs-jobid-bGwDvjUZ2VVzpSvf__PLUS__uAgZw==&source=srp
1	Data Analyst	SEVEN CONSULTANCY	Big data analyst,  Data analyst,  analytical tools,  collecting data	Posted 6 days ago	https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-mumbai-chennai-1-to-2-yrs-jobid-ZOOj__SLASH__6LpYKVzpSvf__PLUS__uAgZw==&source=srp
2	Data Analyst	cross-tab marketing services pvt.	macros, vba, data analyst	Posted a month ago	https://www.timesjobs.com/job-detail/data-analyst-cross-tab-marketing-services-pvt-mumbai-1-to-3-yrs-jobid-ZaHA0OcLtKZzpSvf__PLUS__uAgZw==&source=srp
3	Data Analyst	FE fundinfo	databases , Data Analyst, SLA standards	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-fe-fundinfo-chennai-1-to-2-yrs-jobid-RXiFI__PLUS__sHuGxzpSvf__PLUS__uAgZw==&source=srp
4	Data Analyst	infoanalytica consulting pvt ltd	business rules, sql, Data Analyst	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-infoanalytica-consulting-pvt-ltd-ahmedabad-5-to-8-yrs-jobid-xEPbiv5__PLUS__2aRzpSvf__PLUS__uAgZw==&source=srp
5	Data Analyst	TEAMPLUS STAFFING SOLUTION PVT. LTD.	dwh, business intelligence, Data Analyst	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-teamplus-staffing-solution-pvt-ltd-pune-3-to-6-yrs-jobid-BBePuSrFteBzpSvf__PLUS__uAgZw==&source=srp
6	Data Analyst	DYNATAC TECHNOLOGIES INDIA LIMITED	tabulating for the surveys,  Data Analyst,  survey questionnaire	Posted today	https://www.timesjobs.com/job-detail/data-analyst-dynatac-technologies-india-limited-hyderabad-secunderabad-2-to-3-yrs-jobid-kCf793vkr25zpSvf__PLUS__uAgZw==&source=srp
7	Data Analyst	Faircent.com	data analytics, vba, data analyst, sql	Posted 6 days ago	https://www.timesjobs.com/job-detail/data-analyst-faircent-com-gurgaon-3-to-6-yrs-jobid-__SLASH__OJBsdTpNWRzpSvf__PLUS__uAgZw==&source=srp
8	Data Analyst	Fine Jobs Consultant Pvt. Ltd.	data analysis, consulting, it consulting, data analyst, infrastructure	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-fine-jobs-consultant-pvt-ltd-noida-greater-noida-0-to-3-yrs-jobid-HDm__SLASH__gOLtzw5zpSvf__PLUS__uAgZw==&source=srp
9	Data Analyst	ikomet Technology Solutions Pvt. Ltd.	macros, visualization, bi, data analyst, vba	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-ikomet-technology-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-IY7Ug32__PLUS__6DVzpSvf__PLUS__uAgZw==&source=srp
10	Data Analyst	Citibank India	data analysis, sas, information management, spss, data analyst, analyst	Posted 4 days ago	https://www.timesjobs.com/job-detail/data-analyst-citibank-india-pune-0-to-2-yrs-jobid-Q2UuzVESadJzpSvf__PLUS__uAgZw==&source=srp
11	Data Analyst  ,  Senior Data Analyst  ,  Data Analyst	"AppSoft Solutions
     (More Jobs)"	Data Analyst,  Senior Data Analyst,  Data Analyst - Tech Lead, data profiling, data models, data collection	Posted today	https://www.timesjobs.com/job-detail/data-analyst-senior-data-analyst-data-analyst-appsoft-solutions-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-0-to-3-yrs-jobid-wcZ__SLASH__KEwZAgtzpSvf__PLUS__uAgZw==&source=srp
12	Data Analyst	Enzen Global Solutions Pvt Ltd	macros, data analytics, bi, vb, data analyst, tableau, pl  /  sql	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-enzen-global-solutions-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-bG__PLUS__KlSXycSlzpSvf__PLUS__uAgZw==&source=srp
13	Data Analyst	Analytics Vidhya	data analysis, business requirements, director, dashboards, data analyst, tableau, visio	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-pune-2-to-3-yrs-jobid-XXKKnCMG7sZzpSvf__PLUS__uAgZw==&source=srp
14	Data Analyst	Analytics Vidhya	sas, consulting, program management, mobile, data analyst, sql, sas  /  sql	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-mumbai-pune-4-to-8-yrs-jobid-jLBwXsQGS5RzpSvf__PLUS__uAgZw==&source=srp
15	Data Analyst	Analytics Vidhya	visualization, sas, spotfire, dashboards, data analyst, alteryx, software packages	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-chennai-4-to-8-yrs-jobid-A5RGwTcZgftzpSvf__PLUS__uAgZw==&source=srp
16	Data Analyst	Analytics Vidhya	data analysis, predictive analytics, spss, data analyst, sql, factor analysis	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-gurgaon-2-to-4-yrs-jobid-xQXq8fgvS01zpSvf__PLUS__uAgZw==&source=srp
17	Data Analyst	ADROIT LEARNING AND MANPOWER PVT LTD	data analysis, dashboards, data analyst, sql, tableau, infrastructure, data visualization	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-adroit-learning-and-manpower-pvt-ltd-ahmedabad-7-to-10-yrs-jobid-O6rsbebTEJNzpSvf__PLUS__uAgZw==&source=srp
18	Data Analyst	TARGET	linear regression, sql, data science, logistic regression, data analysis, data analyst, business intelligence reporting, analyst, bia	Posted 2 days ago	https://www.timesjobs.com/job-detail/data-analyst-target-bengaluru-bangalore-2-to-5-yrs-jobid-LOx79vAI2__PLUS__pzpSvf__PLUS__uAgZw==&source=srp
19	Data Analyst	AlphaSense	visualization, bi, business analyst, dashboards, sql, data analysis, consulting, data analyst, analytics reporting, tableau, infrastructure	Posted 6 days ago	https://www.timesjobs.com/job-detail/data-analyst-alphasense-pune-0-to-3-yrs-jobid-ipi__SLASH__g1DMvqNzpSvf__PLUS__uAgZw==&source=srp
20	Data Analyst	TECHNOPARK TRIVANDRUM	consulting, dashboards, data analyst, sql, tableau, data science, statistical modeling	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-technopark-trivandrum-thiruvananthapuram-2-to-5-yrs-jobid-YrMLmOdtIWBzpSvf__PLUS__uAgZw==&source=srp
21	Data Analyst	SEVEN CONSULTANCY	data analysis, data analytics, data mining, business analysis, business analyst, data analyst, data science, advanced excel	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-bengaluru-bangalore-3-to-6-yrs-jobid-k3J70VawvmVzpSvf__PLUS__uAgZw==&source=srp
22	Data Analyst	reliance games pvt ltd	dashboards, sql, data visualization, data analysis, data analyst, tableau, written communication	Posted 2 days ago	https://www.timesjobs.com/job-detail/data-analyst-reliance-games-pvt-ltd-pune-2-to-5-yrs-jobid-XWnwxp8MEAdzpSvf__PLUS__uAgZw==&source=srp
23	Data Analyst	Ameriprise India Pvt Ltd	advanced analytics, business requirements, business analysis, sas programming, data analyst, written communication	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-ameriprise-india-pvt-ltd-noida-greater-noida-gurgaon-1-to-2-yrs-jobid-6GnbdLavELJzpSvf__PLUS__uAgZw==&source=srp
24	Data Analyst	Analytics Vidhya	visualization, dashboards, sql, data extraction, data analysis, rdbms, data analyst, tableau	Posted 6 days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-mumbai-surat-pune-3-to-6-yrs-jobid-Ro7Yo7xoAj5zpSvf__PLUS__uAgZw==&source=srp
25	Data Analyst	Horizontal Talent	time series analysis, visualization, sql, database, data analyst, alteryx, impact analysis, tableau	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-horizontal-talent-bengaluru-bangalore-5-to-8-yrs-jobid-5cGcS1aOsyVzpSvf__PLUS__uAgZw==&source=srp
26	Data Analyst	InsideView	visualization, data mining, sql, data visualization, data analytics, sas, data analyst, statistical analysis	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-insideview-hyderabad-secunderabad-1-to-3-yrs-jobid-__SLASH__oJD__PLUS__Awbe91zpSvf__PLUS__uAgZw==&source=srp
27	Data Analyst	legalwiz.in private limited	information technology, data mining, data warehousing, storage, dashboards, data analyst, tableau, data visualization	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-legalwiz-in-private-limited-ahmedabad-0-to-1-yrs-jobid-Yg11HKMOaORzpSvf__PLUS__uAgZw==&source=srp
28	Data Analyst	Nanobi data and analytics pvt ltd	sas, consulting, bi, spss, data analyst, sql, data science, data scientist	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-nanobi-data-and-analytics-pvt-ltd-bengaluru-bangalore-7-to-9-yrs-jobid-Uep6ZgmCjuxzpSvf__PLUS__uAgZw==&source=srp
29	Data Analyst	Jio Saavan	data mining, dashboards, sql, advanced analytics, data analysis, mobile, data analyst, analytics reporting, tableau	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-jio-saavan-gurgaon-mumbai-bengaluru-bangalore-3-to-4-yrs-jobid-lr1HqOpdOEtzpSvf__PLUS__uAgZw==&source=srp
30	Data Analyst	cardekho.com	big data analytics, data mining, mobile, business analysis, dashboards, data analyst, sql, tableau	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-cardekho-com-gurgaon-5-to-8-yrs-jobid-C6ehbzUv2pVzpSvf__PLUS__uAgZw==&source=srp
31	Data Analyst	Analytics Vidhya	data analytics, sas, spss, dashboards, data analyst, sql, tableau, statistical modeling, data visualization	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-gurgaon-2-to-5-yrs-jobid-veGhsAe2FU9zpSvf__PLUS__uAgZw==&source=srp
32	Data Analyst	47Billion Information Technologies Pvt Ltd	big data analytics, data mining, storage, dashboards, data analyst, security, database, analyst	Posted few days ago	https://www.timesjobs.com/job-detail/data-analyst-47billion-information-technologies-pvt-ltd-indore-0-to-3-yrs-jobid-0ulGVlPhbZJzpSvf__PLUS__uAgZw==&source=srp
33	Data Analyst	Ameriprise India Pvt Ltd	business requirements, bi, advanced analytics, sas, business analysis, sas programming, data analyst, tableau, written communication, predictive modeling	Posted 3 days ago	https://www.timesjobs.com/job-detail/data-analyst-ameriprise-india-pvt-ltd-gurgaon-1-to-3-yrs-jobid-nqNNETRwzoZzpSvf__PLUS__uAgZw==&source=srp
